College ID,Country,Total Students,Male,Female,CGPA,Annual Family Income,Branch,Sports,Research Papers Published,Placement Rate,Faculty Count
College 80,Singapore,22382,8543,12722,8.464649,729298,Civil Engineering,Athletics,42,99.15,356
College 82,China,22431,3008,11809,8.072951999999999,1365904,Economics,Football,45,100.0,597
College 53,Singapore,7054,1399,5655,8.2536635,1067327,Electrical Engineering,Athletics,37,66.17999999999999,348
College 24,Japan,24493,4825,9478,6.8436945,407389,Civil Engineering,Basketball,46,93.50999999999999,704
College 26,South Africa,7226,5564,1662,7.585688,1251376,Economics,Athletics,29,68.74000000000001,202
College 89,India,26326,11425,14901,9.3340345,4408069,Mechanical Engineering,Badminton,44,92.17,388
College 60,Canada,29089,6802,2883,7.759734,1899468,Physics,Tennis,36,85.46,360
College 41,UK,8318,9781,-1463,8.1523175,484635,Mathematics,Badminton,13,97.32,399
College 29,South Africa,13405,2469,6212,9.1028635,1465727,Physics,Badminton,2,86.29,500
College 15,Canada,18033,1859,12736,8.284674,1109348,Electrical Engineering,Volleyball,22,78.29,239
College 45,Canada,14163,4956,6588,9.564055499999998,2548111,Chemical Engineering,Athletics,23,94.97,468
College 65,South Africa,1675,2801,-1126,10.0,2197160,Economics,Cricket,46,71.11999999999999,354
College 89,Singapore,17326,14699,2627,8.815723,1931446,Physics,Badminton,31,82.22999999999999,497
College 71,Japan,13150,13960,-810,7.842577,525154,Chemical Engineering,Badminton,6,77.32,512
College 9,Switzerland,18026,3253,8378,8.448157499999999,2196315,Mechanical Engineering,Volleyball,42,64.88,581
College 88,USA,8239,7155,1084,10.0,3417289,Civil Engineering,Volleyball,17,83.06,200
College 1,Switzerland,19764,791,1249,8.0058765,811753,Computer Science,Badminton,20,100.0,572
College 8,UK,21876,4410,4540,10.0,3625191,Business Administration,Basketball,31,72.49,383
College 88,Australia,28609,1922,6790,7.924704,4169408,Economics,Chess,16,78.86,639
College 63,Australia,20074,11864,2623,7.956422,2652844,Chemical Engineering,Football,39,74.19000000000001,666
College 11,Australia,18982,2876,2519,9.391607,4363214,Civil Engineering,Cricket,39,65.11,602
College 81,China,28662,10227,14734,9.34417,4508340,Physics,Basketball,19,64.71000000000001,384
College 8,USA,27608,7028,9621,7.711766,3643532,Physics,Athletics,16,82.42999999999999,342
College 35,South Africa,10857,14851,-3994,8.379490500000001,2038981,Computer Science,Football,35,98.3,344
College 35,Canada,7076,10443,-3367,6.606273,732546,Computer Science,Football,42,71.9,184
College 33,Switzerland,2978,10721,-7743,9.1312025,2862405,Biotechnology,Tennis,37,71.54,346
College 5,South Africa,16845,8395,6537,9.449895,1739790,Mathematics,Basketball,24,100.0,508
College 41,Singapore,1778,7549,-5771,7.1105455,561091,Electrical Engineering,Basketball,15,69.65,420
College 28,USA,8428,7706,722,10.0,3004353,Economics,Tennis,22,63.220000000000006,290
College 7,Singapore,3882,3043,839,8.459078,298156,Business Administration,Cricket,8,67.99,285
College 73,China,29438,12798,1082,7.707547,4795094,Electrical Engineering,Cricket,4,75.36,590
College 72,UK,9799,6673,3126,10.0,4799302,Physics,Football,23,100.0,509
College 12,USA,8742,8859,-117,9.6372495,3554499,Electrical Engineering,Basketball,43,87.22,158
College 34,USA,22891,8596,9537,9.2665785,3033157,Mathematics,Basketball,31,98.39999999999999,378
College 33,Canada,18134,8570,9564,9.785448,3890896,Physics,Football,34,100.0,557
College 48,Japan,17924,2937,2835,10.0,4294219,Physics,Cricket,3,66.71,310
College 23,Australia,9336,12254,-2918,9.811119,3162238,Civil Engineering,Basketball,20,69.65,515
College 62,Canada,1990,7023,-5033,7.4274439999999995,1174888,Civil Engineering,Basketball,39,65.51,204
College 88,Switzerland,20106,13477,5563,9.7622255,3024451,Physics,Swimming,39,76.69000000000001,268
College 37,Switzerland,27287,8103,1985,8.934186500000001,3488373,Civil Engineering,Chess,15,76.87,553
College 99,Switzerland,12604,12475,129,7.949994500000001,2919989,Biotechnology,Athletics,44,89.43,292
College 44,Switzerland,20452,10179,10273,8.097335000000001,1374670,Civil Engineering,Athletics,25,64.5,436
College 86,Canada,2110,11684,-9574,9.436875,4153750,Mechanical Engineering,Chess,26,79.74,250
College 91,India,23831,3592,4740,8.435177,1510354,Mechanical Engineering,Chess,10,69.31,387
College 35,UK,21446,1378,1836,10.0,4844556,Computer Science,Badminton,37,100.0,483
College 65,India,10208,9038,1170,8.574251,3488502,Business Administration,Cricket,28,100.0,445
College 99,Canada,13084,4886,8198,10.0,4854095,Physics,Chess,3,64.24,442
College 47,USA,22440,2159,5965,6.6580085,1176017,Mathematics,Swimming,25,76.36,518
College 78,Switzerland,24156,12404,8131,9.6163095,3052619,Computer Science,Volleyball,5,67.87,454
College 3,Australia,6322,3971,2351,10.0,3362915,Biotechnology,Swimming,16,74.92999999999999,497
College 1,India,2280,2066,214,8.737012499999999,4614025,Chemical Engineering,Volleyball,13,78.96,506
College 5,Australia,14958,13870,1088,9.6171255,3774251,Chemical Engineering,Athletics,49,92.7,315
College 90,South Africa,20688,4313,11180,7.611477,3022954,Mechanical Engineering,Chess,37,83.61,270
College 14,UK,13661,6149,7512,8.3468425,2613685,Economics,Swimming,1,66.5,278
College 27,Switzerland,2619,7276,-4657,8.398514500000001,2057029,Mechanical Engineering,Basketball,26,79.33999999999999,139
College 9,Singapore,15109,3709,11400,10.0,4717269,Biotechnology,Volleyball,12,68.2,564
College 79,India,27480,13604,10907,9.716749,3793498,Computer Science,Volleyball,1,79.66,481
College 15,Switzerland,17243,6150,3795,10.0,4684038,Biotechnology,Basketball,26,79.44,476
College 90,India,27181,14180,5570,7.805842,4351684,Civil Engineering,Swimming,48,96.61,439
College 42,Singapore,16457,11242,5215,10.0,4313775,Business Administration,Football,6,68.22999999999999,390
College 77,South Africa,17994,3357,7389,9.397006,4594012,Physics,Volleyball,40,100.0,556
College 51,Japan,5261,14714,-9453,7.1436285,1627257,Chemical Engineering,Swimming,9,63.9,481
College 63,Switzerland,7301,3281,4020,8.047091,3574182,Biotechnology,Tennis,20,92.1,189
College 96,Switzerland,5594,10649,-5055,9.424244,3968488,Electrical Engineering,Athletics,46,93.3,299
College 52,UK,21789,1820,6980,7.3561594999999995,1112319,Biotechnology,Badminton,19,74.49000000000001,319
College 96,Canada,3014,6321,-3307,9.010834000000001,2801668,Civil Engineering,Chess,2,85.22,307
College 4,India,19319,11550,7769,9.1048455,2629691,Computer Science,Chess,13,93.78999999999999,405
College 94,Singapore,4687,4959,-272,6.9516615,583323,Civil Engineering,Chess,19,62.22,103
College 23,China,10487,2757,1817,8.8911005,3642201,Chemical Engineering,Tennis,21,86.25999999999999,288
College 15,Singapore,3330,7103,-3773,8.4907745,3361549,Computer Science,Basketball,20,72.03,285
College 43,USA,3659,9470,-5811,7.585999,271998,Economics,Swimming,34,95.12,393
College 29,Australia,27389,11683,8237,10.0,1137727,Biotechnology,Badminton,44,66.35000000000001,479
College 36,India,24950,3189,4356,9.0071545,4134309,Mathematics,Athletics,36,71.61,506
College 13,UK,18453,4687,9464,8.184688,2849376,Mechanical Engineering,Cricket,13,91.95,454
College 32,South Africa,15720,6085,4848,8.97589,2511780,Electrical Engineering,Chess,7,92.27,397
College 71,China,21981,13770,7921,8.2705765,661153,Computer Science,Swimming,16,96.22999999999999,382
College 59,Australia,23427,7488,5540,9.0488085,2717617,Civil Engineering,Athletics,38,83.72,537
College 86,USA,23176,7519,2769,9.5841805,3788361,Civil Engineering,Cricket,35,82.47,540
College 28,South Africa,29259,12231,14624,9.6884545,4156909,Physics,Cricket,1,73.72,441
College 66,USA,8566,5643,2923,7.10018,2700360,Chemical Engineering,Volleyball,13,72.03999999999999,529
College 42,Switzerland,15302,8256,559,8.816614,3433228,Civil Engineering,Tennis,21,66.44999999999999,406
College 45,India,5408,11906,-6498,8.188719500000001,4317439,Physics,Tennis,33,100.0,360
College 62,Japan,29997,2760,8391,9.0728585,2965717,Civil Engineering,Basketball,39,82.52000000000001,736
College 57,Switzerland,2731,6746,-4015,8.581930999999999,423862,Mechanical Engineering,Chess,31,89.78999999999999,188
College 6,UK,14241,3061,11180,9.0710465,4902093,Chemical Engineering,Football,23,64.03,538
College 28,Singapore,25339,7805,11244,10.0,3358676,Physics,Basketball,48,82.11,503
College 28,Japan,21995,7365,5874,9.7582475,3716495,Chemical Engineering,Athletics,38,97.47,292
College 44,UK,18158,3238,6201,9.248739,4757478,Biotechnology,Swimming,11,100.0,478
College 84,Australia,18370,10603,4174,8.644464,2368928,Economics,Football,5,82.22,253
College 30,UK,19744,5347,7580,6.924183,528366,Mechanical Engineering,Chess,12,62.14,419
College 62,Canada,3949,5948,-1999,8.5221685,1344337,Computer Science,Swimming,45,87.06,247
College 75,Switzerland,24862,5183,6994,8.150977,541954,Economics,Volleyball,39,72.52000000000001,492
College 92,India,8838,3563,1412,8.8646245,1549249,Mechanical Engineering,Swimming,41,65.17999999999999,436
College 89,USA,24871,12720,6521,8.751609,4943218,Physics,Chess,34,93.86,441
College 62,Singapore,21899,11525,3801,9.339387,3878774,Physics,Volleyball,12,87.52,543
College 97,Japan,23618,2664,13658,7.802776499999999,245553,Economics,Football,49,90.17,588
College 1,China,24564,9056,4980,9.802976000000001,2685952,Economics,Basketball,18,93.82,468
College 27,Singapore,22578,1206,1119,7.914581999999999,1549164,Computer Science,Athletics,36,80.00999999999999,512
College 62,Singapore,20828,12054,8774,9.612307999999999,2684616,Mechanical Engineering,Swimming,3,66.61999999999999,308
College 77,South Africa,20784,593,3448,5.6609275,1221855,Mechanical Engineering,Athletics,20,78.57,426
College 3,Singapore,21423,11574,5046,8.1374655,754931,Biotechnology,Volleyball,21,88.22999999999999,673
College 70,Singapore,12964,6914,6050,10.0,4463877,Business Administration,Badminton,5,92.49,188
College 72,Singapore,2033,9861,-7828,8.738941500000001,1497883,Biotechnology,Basketball,8,63.459999999999994,206
College 27,USA,1449,9174,-7725,9.9374515,2094903,Mechanical Engineering,Athletics,33,71.53,245
College 9,Canada,26239,7983,6264,8.431281,1962562,Civil Engineering,Chess,48,94.75,382
College 62,Singapore,7498,9725,-2227,9.975236500000001,3350473,Physics,Volleyball,28,89.61,538
College 37,Japan,28553,542,4631,9.4260365,4332073,Business Administration,Swimming,40,80.23,466
College 97,Canada,11673,3163,4187,10.0,3627676,Physics,Tennis,22,77.11,234
College 51,Singapore,20786,13627,7159,8.2543385,328677,Mechanical Engineering,Swimming,3,96.52,352
College 44,Japan,29275,6429,4831,8.108502999999999,2677006,Chemical Engineering,Swimming,8,79.38,759
College 24,Japan,15976,2408,876,8.223327000000001,2146654,Mathematics,Tennis,31,88.55999999999999,274
College 79,Australia,4588,13583,-8995,9.898787500000001,4717575,Computer Science,Tennis,1,66.71,414
College 59,Switzerland,19438,2092,14930,8.566657000000001,713314,Mechanical Engineering,Swimming,3,81.71,374
College 32,UK,14553,8916,5637,9.131173,4802346,Business Administration,Football,14,87.51,303
College 96,China,4172,12996,-8824,8.407676499999999,3115353,Physics,Athletics,42,96.36,192
College 88,UK,9421,640,8781,8.698113,4016226,Mechanical Engineering,Volleyball,2,93.8,244
College 52,South Africa,19176,10202,861,8.7628395,905679,Chemical Engineering,Basketball,24,96.58000000000001,400
College 62,India,15623,865,3429,8.078935,1157870,Economics,Badminton,3,97.97,271
College 58,China,26232,7706,4844,9.1117295,4203459,Civil Engineering,Tennis,22,69.41,487
College 52,Canada,25849,5032,8099,10.0,2112524,Chemical Engineering,Basketball,4,80.80000000000001,565
College 12,China,7723,8548,-825,7.6166275,2153255,Physics,Volleyball,43,86.05,357
College 39,UK,29208,1602,868,9.590257999999999,4400516,Mathematics,Athletics,14,71.11,636
College 2,Japan,8948,6574,2374,10.0,3491308,Electrical Engineering,Athletics,41,95.11,206
College 3,UK,24620,5400,7245,9.045821,1951642,Mathematics,Badminton,46,100.0,609
College 56,China,9085,766,3129,10.0,4429593,Electrical Engineering,Cricket,1,96.46,584
College 81,India,18305,13908,4397,10.0,3357430,Economics,Badminton,35,63.83,484
College 59,China,10539,703,3077,7.6371475,1134295,Economics,Badminton,30,93.73,261
College 2,Japan,21100,9091,6707,8.966210499999999,2812421,Mathematics,Football,10,75.2,528
College 2,Canada,14388,9588,4800,8.41914,1698280,Biotechnology,Athletics,31,69.72999999999999,559
College 92,Japan,2597,13193,-10596,8.8860595,2512119,Physics,Chess,35,84.8,318
College 54,Singapore,25648,7876,1544,8.827645,1515290,Electrical Engineering,Athletics,19,82.58000000000001,548
College 87,South Africa,6187,8877,-2690,7.96385,2527700,Business Administration,Badminton,1,81.72999999999999,315
College 96,India,27841,9379,9471,9.713460999999999,4386922,Biotechnology,Basketball,49,78.76,516
College 97,Japan,4661,13346,-8685,8.6135135,867027,Mechanical Engineering,Athletics,26,84.00999999999999,137
College 1,India,27869,2345,11541,6.603773,447546,Chemical Engineering,Swimming,33,84.99,645
College 19,Australia,3737,2182,1555,8.075875,2311750,Civil Engineering,Football,4,67.33000000000001,359
College 2,China,7962,12906,-4944,8.1439,2287800,Mechanical Engineering,Tennis,0,70.71,375
College 53,South Africa,7145,3891,3254,8.581201499999999,3042403,Physics,Tennis,11,70.38,408
College 44,USA,29584,1077,8045,8.387962,2615924,Computer Science,Cricket,16,74.69,394
College 90,Singapore,12071,5530,5655,9.654403,4208806,Chemical Engineering,Athletics,13,67.42999999999999,516
College 32,Canada,9755,12168,-2413,8.6619915,4063983,Electrical Engineering,Athletics,17,64.42,295
College 70,UK,5161,14624,-9463,6.1662725,472545,Chemical Engineering,Basketball,16,80.07,187
College 32,Switzerland,13263,7348,5915,9.360652,3141304,Mechanical Engineering,Cricket,46,77.72,322
College 68,Switzerland,18499,14858,3641,8.977428,3534856,Computer Science,Football,48,75.81,384
College 55,USA,2207,2461,-254,8.312364500000001,324729,Biotechnology,Athletics,18,74.86,84
College 75,China,13054,4042,9012,7.9375765,2595153,Economics,Badminton,40,78.95,223
College 56,Singapore,11438,13565,-2127,9.531196,3902392,Mathematics,Cricket,34,96.18,181
College 17,India,5839,9799,-3960,10.0,3277373,Chemical Engineering,Volleyball,39,96.28,162
College 38,Canada,1371,9471,-8100,8.369528,4019056,Chemical Engineering,Swimming,35,65.31,356
College 24,China,7229,9042,-1813,10.0,3556744,Physics,Cricket,46,68.91999999999999,526
College 69,China,23331,2588,4843,7.685369,2970738,Business Administration,Chess,6,69.52,361
College 98,South Africa,19743,14442,5301,9.382274,1004548,Civil Engineering,Cricket,4,94.10000000000001,647
College 70,India,12639,3115,4064,10.0,3671145,Electrical Engineering,Athletics,15,73.03,182
College 86,Switzerland,17803,8897,8906,8.623745,247490,Economics,Badminton,7,98.12,563
College 11,India,26472,14201,12271,9.337192499999999,2274385,Mathematics,Badminton,1,62.81,549
College 16,India,8521,8728,-207,8.678304,1896608,Mathematics,Swimming,37,87.47,475
College 97,South Africa,28907,7007,568,8.715122999999998,690246,Civil Engineering,Basketball,19,100.0,754
College 73,China,14864,12429,2404,9.341367,342734,Biotechnology,Tennis,35,84.7,257
College 59,China,3146,4290,-1144,7.9355515,1771103,Business Administration,Basketball,7,62.6,235
College 70,Australia,9116,9139,-23,8.5729455,3645891,Chemical Engineering,Football,5,66.36,350
College 80,India,29830,9972,4458,8.8022115,2804423,Biotechnology,Badminton,35,70.97,604
College 93,Switzerland,15752,3146,12606,9.2311675,4302335,Electrical Engineering,Cricket,33,67.1,214
College 3,UK,18404,4086,14098,8.735787,1891574,Physics,Basketball,44,69.49000000000001,307
College 20,China,22892,7312,14130,9.543296999999999,4886594,Chemical Engineering,Swimming,24,100.0,396
College 59,Singapore,26002,11785,12332,10.0,3977497,Chemical Engineering,Cricket,2,99.44,650
College 36,Singapore,20690,6145,10320,8.2782235,3696447,Electrical Engineering,Chess,22,89.25,476
College 19,Canada,25970,11308,11687,8.487514000000001,1415028,Civil Engineering,Swimming,16,92.08999999999999,624
College 90,India,18439,14002,4437,10.0,4376421,Economics,Athletics,20,70.95,263
College 67,Canada,20822,9279,11543,8.215899,2411798,Business Administration,Football,36,70.97,309
College 19,South Africa,13037,14787,-1750,7.4154314999999995,570863,Economics,Basketball,13,87.23,512
College 20,Switzerland,3651,10400,-6749,8.8308065,3381613,Mathematics,Swimming,4,98.33000000000001,279
College 96,India,14520,10899,3621,9.1836275,3487255,Business Administration,Badminton,35,67.45,573
College 71,Switzerland,10073,14967,-4894,10.0,3470700,Mathematics,Volleyball,44,68.69000000000001,320
College 52,Australia,24306,5369,4719,9.4097325,2039465,Mathematics,Badminton,25,86.57,457
College 33,Japan,17040,1900,2665,10.0,4823881,Electrical Engineering,Football,9,67.42,581
College 40,Japan,9474,6488,2986,10.0,2763041,Electrical Engineering,Tennis,37,90.78,165
College 39,India,10291,8729,1562,7.6569745,4113949,Mechanical Engineering,Chess,34,71.21000000000001,293
College 82,Australia,4084,7305,-3221,7.479241,1798482,Biotechnology,Basketball,43,93.89999999999999,92
College 1,Singapore,9542,4890,4652,9.3798705,2339741,Electrical Engineering,Chess,32,64.29,493
College 11,India,17930,12136,5794,7.412087499999999,704175,Economics,Tennis,22,99.33,229
College 92,Canada,7680,2055,5625,7.9011379999999996,2102276,Electrical Engineering,Swimming,21,67.47,374
College 57,Canada,5061,13307,-8246,10.0,3912546,Computer Science,Athletics,24,73.33000000000001,286
College 89,Singapore,1803,9998,-8195,6.6511715,1122343,Economics,Badminton,41,77.58999999999999,195
College 50,Switzerland,1660,9294,-7634,8.8543465,2868693,Mechanical Engineering,Football,21,76.67999999999999,72
College 23,UK,28759,13383,10165,8.2052695,1630539,Physics,Cricket,40,79.69,745
College 31,Canada,3358,4701,-1343,8.5088225,2617645,Computer Science,Volleyball,33,69.64999999999999,220
College 94,Switzerland,7179,9405,-2226,9.38739,2794780,Electrical Engineering,Cricket,15,71.29,466
College 42,Japan,25475,11752,10180,8.1667625,2753525,Economics,Tennis,29,100.0,586
College 99,Japan,28802,8519,1308,9.0145445,3929089,Computer Science,Swimming,48,92.05,376
College 7,South Africa,10611,6334,4277,9.2945215,4829043,Electrical Engineering,Basketball,21,75.6,262
College 16,Australia,10417,9268,598,7.503718500000001,787437,Mechanical Engineering,Cricket,48,68.02,255
College 90,Australia,28161,7884,11468,8.628059,2876118,Mathematics,Chess,17,79.36,676
College 60,USA,29636,11614,9229,8.565224,2690448,Chemical Engineering,Athletics,8,92.88,452
College 2,Japan,26772,3647,1631,9.958123,4316246,Mathematics,Chess,3,81.71,410
College 1,Singapore,29549,2941,9519,7.230817500000001,661635,Physics,Swimming,4,63.449999999999996,439
College 48,China,14272,13872,400,8.186909,1073818,Chemical Engineering,Football,13,69.28,224
College 12,UK,18927,3140,3305,7.504922,2649844,Mechanical Engineering,Football,25,68.55,604
